sha,subject,category,patch_applies,files_on_master,files_total
2e77cd0b9f25e58db837951777c6cabf58a32fd2,"fix: disable worktree-assuming code in orch complete",irrelevant,false,2,9
84d1dd2062f55494fc8354a73188cb2621c1f241,"fix: add .orch/worktrees/ to .gitignore and remove from tracking",irrelevant,false,1,8
e43396d602c66ef46829c14a58a8c381af53fcbd,"fix: validate --headless flag is compatible with selected backend",irrelevant,false,5,7
c0f35bcafa379158f60aef6dc6661cd67e11fa6b,"fix: always write fresh VERIFICATION_SPEC.yaml skeleton on spawn",irrelevant,false,3,5
42ae888ddb45996b7d15b0e28f18a8bdfcb450ae,"fix: ignore stale Phase: Complete on open issues",irrelevant,false,0,3
d4a0f299ab8a5106f9f74cc9a3ac40d3d5d85efb,"fix: prevent reconcile from abandoning live headless sessions",irrelevant,false,0,3
7593ea3fd79c82c993e9696cae8653f55196c41a,"fix: add commit instructions to worker minimal prompt",irrelevant,false,1,2
2e6d851e8943bd2717cd008073b8e1177567698a,"fix: restore full smoke suite — 5 checks gutted to 1 by install-safe commit",irrelevant,false,1,1
e90ab43a86d8cabc0e15402247ee6ac761813d5d,"fix: resolve skill name for headless spawns via workspace beadsID fallback",irrelevant,false,5,5
4ca9d0de386e4f3d1f3ccccf652b9a25ff5849e0,"fix: show workspace name for agents without beads ID",irrelevant,false,1,6
088126c6d75d167befc32b84515c21ff86d8012b,"fix: check worktree path for agent artifacts in orch complete",irrelevant,false,0,2
8a259417c15ee61914849372ba6140035657f57d,"fix: adjust test timestamps to avoid boundary condition failures",still-relevant,true,1,1
65df2bc373e10a184562b92d8d409411086bec00,"fix: check session activity time instead of creation time",irrelevant,false,3,4
12111d33ee30f081847d4d3fcce0a7664ac1beba,"fix: prevent spurious empty .orch/state.db in project directories",irrelevant,false,1,3
bba77e5fa344071ae48b8aefeebcc2606b115c19,"fix: distinguish OpenCode TUI from HTTP API in orch doctor",irrelevant,false,3,7
d76a5c462ba4b8d98d05e292c6f2fb8cf75babf6,"fix: PPID-based reaper to protect TUI, fix all test failures",irrelevant,false,5,9
760757dc28e94963f298e0bd28376c50fbc256a5,"fix: tighten orphan detection to require --conditions=browser flag",irrelevant,false,0,2
de0a68bea65b9b7c155390b791fa7912d1901c6c,"fix: add orch reap command and launchd safety net for zombie bun processes",irrelevant,false,3,9
35078ba6d51faadb74324978dfefd933b244b30c,"fix: reorder complete cleanup to kill tmux window before archival",irrelevant,false,1,2
9167ed92b835e00e5ce441a3e6e1c8655edaff86,"fix: replace stale 'run --attach' orphan detection with 'src/index.ts' matching",irrelevant,false,1,5
db58c09c40242813032afd826d1ef0f99ff7e56c,"fix: strip OPENAI_API_KEY from OpenCode server env and remove invalid BUN_JSC_heapSize",irrelevant,false,2,2
cbc273512ff14d53a8503620975d35ba15b1144a,"fix: protect orchestrator sessions from cleanup by default",irrelevant,false,1,2
dc8a7cd9caaff8f395217e4d316db58c16efdcb2,"fix: restore gpt-5.3-codex aliases — model exists on Codex/ChatGPT backend (requires OAuth)",irrelevant,false,4,4
a3b2569e87b6a8f8b8134b4e6365864e085cd706,"fix: early model resolution consults global config before rate limit check",irrelevant,false,0,1
b649b5620dafebf3413761e3985bb066fc2ce1d9,"fix: revert workspace artifacts leaked by cherry-pick from agent branch",irrelevant,false,0,3
83b91c974706f233b1b1ac02c6354e635beff421,"fix: restore gpt-5.2-codex aliases and tests — gpt-5.3-codex does not exist on OpenAI API",irrelevant,false,3,3
d527309037f80c1a178d6f3a5d71b73647a6eba1,"fix: map GPT aliases to gpt-5.2-codex — gpt-5.3-codex does not exist yet",irrelevant,false,2,2
a5ec05d091dc72dce174a1b17d1ee49845753811,"fix: resolve workspace by most recent active, skip already-applied cherry-picks",irrelevant,false,3,8
810e374b6ab034cdf34ccf563473a58186c2abb0,"fix: SPAWN_CONTEXT.md PROJECT_DIR now uses worktree path for headless agents",irrelevant,false,3,5
8da70fcc162f86319d82d7260d182a6f83a53569,"fix: add state.db fallback for phase_complete gate and improve error messages",irrelevant,false,5,5
6fc11e27d8cb0b9d890a64ff65f1f6092566e9e1,"fix: copy spawn artifacts to worktree so agents find SPAWN_CONTEXT.md in their CWD",still-relevant,true,2,2
b476fef716515668031d7af1035e2a8f6abff084,"fix: completion pipeline — cherry-pick replaces rebase, git commit for non-Claude models, idle-with-work status visibility",irrelevant,false,5,14
afc91207a0cb8163e230265b0fbff61e208c7136,"fix: work-graph SSE - hook refresh to agentlog session.spawned lifecycle events and cleanup on route destroy",irrelevant,false,1,1
53d9a67d7448c9aa06a644fde0aebd9063f5ac91,"fix: episodic validate_test.go build errors — use correct ValidationState* constant names and fix single-line sanitization test",irrelevant,false,1,2
d219766476f9172635199b8c3023eba9381b7a5e,"fix: discard dirty .beads/issues.jsonl before ff-only merge in orch complete",irrelevant,false,1,3
bd21b3538b282d80822dbecf3ac8e869454f1d90,"fix: bd command falls back to nearest .beads project root when worktree cwd is deleted",irrelevant,false,2,3
9539a5d14a287ff3bb23fb73ecba9dc2f6f97735,"fix: daemon processed cache allows respawn of reopened triage:ready issues",irrelevant,false,6,14
6512d8d4c5ea94c091a98da2a0c50c173adae0e3,"fix: ParsePhaseFromComments takes first match (newest) instead of last (oldest)",irrelevant,false,3,3
6890004b83750bbf17cb6dfbb99d049df59421ed,"fix: headless spawn uses HTTP API with x-opencode-directory for worktree cwd",irrelevant,false,1,3
117b3973d18d6947224cb8a3c2c1eb4043e77f1a,"fix: work-graph UI improvements — side panel toggle, keyboard nav, CORS",irrelevant,false,7,10
08e427c45a23efa45a30d8c289e8dbd2139703d8,"fix: correct multi-model evaluation model based on production evidence",irrelevant,false,1,2
3956657ad503ae8f2d3a7b7f95e1bfaa123fd4e3,"fix: filter agent_abandoned from crash-free streak calculation",irrelevant,false,2,5
2c389341ff1baba97282944653214344d07ebbef,"fix: process census false positives for PPID=1 processes",irrelevant,false,1,4
e40402ac852a1d46a8263654db0ebb3797b324fa,"fix: post-mortem reliability batch - beads concurrency, resource constraints, operator health",irrelevant,false,42,97
